,iou_median,iou_p-25th,iou_p-75th
0,0.8168314695358276,0.7324049770832062,0.858631819486618
1,0.6678955256938934,0.4371388107538223,0.749429389834404
2,0.7854905724525452,0.6666613817214966,0.8311038613319397
3,0.8339208364486694,0.7859618067741394,0.8872037529945374
4,0.7411882281303406,0.6087890565395355,0.7990877628326416
5,0.722012996673584,0.5821697115898132,0.8199838548898697
6,0.6648854613304138,0.6056196093559265,0.8132246434688568
7,0.7308445572853088,0.6502842903137207,0.8003416657447815
8,0.8495301604270935,0.7912265956401825,0.8982939720153809
9,0.637739360332489,0.5875259637832642,0.701951265335083
10,0.7479787468910217,0.747522234916687,0.8151730895042419
11,0.6244224309921265,0.5290031135082245,0.6797153353691101
12,0.813866138458252,0.74702388048172,0.8504410684108734
13,0.8057542443275452,0.7182610034942627,0.8396539986133575
14,0.7523557543754578,0.7076665014028549,0.8190743625164032
15,0.8231428861618042,0.7632858753204346,0.8555140495300293
16,0.6919400691986084,0.6587685942649841,0.7544659972190857
17,0.627953052520752,0.44474948942661285,0.6622408777475357
18,0.7235212922096252,0.687335342168808,0.8051562011241913
19,0.8214651346206665,0.7652435898780823,0.8585174083709717
20,0.8152059316635132,0.7696324288845062,0.8554002195596695
21,0.8002943098545074,0.519779622554779,0.8638029992580414
22,0.6877543330192566,0.6310374438762665,0.7522953152656555
23,0.6621513962745667,0.6399345397949219,0.6999705135822296
24,0.7045391798019409,0.6725579053163528,0.7906198650598526
25,0.8406537771224976,0.7888889461755753,0.8722324371337891
26,0.7963303923606873,0.7342881709337234,0.833884209394455
27,0.6710615754127502,0.5968758165836334,0.7573125660419464
28,0.8139368295669556,0.733713835477829,0.8531312793493271
29,0.8023340106010437,0.7310850024223328,0.8429003953933716
30,0.7197566330432892,0.6784635782241821,0.8017991036176682
31,0.8107465505599976,0.7541279792785645,0.8504955619573593
32,0.7966535687446594,0.7327924072742462,0.8265785872936249
33,0.5484299063682556,0.2619362771511078,0.6466272175312042
34,0.7575246095657349,0.6782534420490265,0.8060731589794159
35,0.6246355772018433,0.5820605754852295,0.714970052242279
36,0.7341176271438599,0.7122697234153748,0.7692267298698425
37,0.7753157913684845,0.6902438104152679,0.8153389096260071
38,0.7707839012145996,0.7156040370464325,0.8253473341464996
39,0.7746496200561523,0.6911551058292389,0.809371218085289
40,0.5319114327430725,0.4643607437610626,0.6176024675369263
41,0.7977407574653625,0.7501794695854187,0.8545104265213013
42,0.726399689912796,0.45917004346847534,0.7806830257177353
43,0.8030781149864197,0.7374306619167328,0.8412428498268127
44,0.7384097576141357,0.6970184296369553,0.7786818295717239
45,0.6598247289657593,0.5509927868843079,0.7598054707050323
46,0.7766777276992798,0.7094668447971344,0.8190995156764984
47,0.7315040826797485,0.6862293481826782,0.7759352326393127
48,0.7596907615661621,0.7256155014038086,0.8080976456403732
49,0.7599215507507324,0.6737654209136963,0.8327355086803436
50,0.7666036486625671,0.7074164748191833,0.8454657942056656
51,0.7909030914306641,0.6923012137413025,0.8432113528251648
52,0.7850004434585571,0.7336533665657043,0.8288445472717285
53,0.7717390060424805,0.668695867061615,0.8295507431030273
54,0.7631290555000305,0.6632621586322784,0.85747030377388
55,0.8183885812759399,0.7394779622554779,0.8539360463619232
56,0.807253360748291,0.6917793154716492,0.8504099249839783
57,0.7947207689285278,0.7357884049415588,0.8786728382110596
58,0.7826587557792664,0.7240709066390991,0.8149771690368652
59,0.6845152974128723,0.0,0.7673489898443222
60,0.8155169486999512,0.7742675989866257,0.8572386205196381
61,0.7200638651847839,0.5403986424207687,0.7776186615228653
62,0.7647410035133362,0.6548518240451813,0.8330502510070801
63,0.8184502124786377,0.7379708290100098,0.8562813997268677
64,0.8317582607269287,0.7626175880432129,0.853689432144165
65,0.8263095617294312,0.764192521572113,0.8844782114028931
66,0.6761800646781921,0.5112376660108566,0.7216203808784485
67,0.7649028301239014,0.6914238333702087,0.8119204044342041
68,0.7621638774871826,0.7277629673480988,0.8086743503808975
69,0.839152991771698,0.7668663561344147,0.8949442654848099
70,0.8033373355865479,0.7709027826786041,0.8431739658117294
71,0.676000714302063,0.5913635492324829,0.730716198682785
72,0.7354673743247986,0.6749459356069565,0.7934277504682541
73,0.30172988772392273,0.0,0.5558489859104156
74,0.8200243711471558,0.7602721452713013,0.8631880879402161
75,0.7354060411453247,0.6129826307296753,0.8469063192605972
76,0.62441086769104,0.573966920375824,0.7059778720140457
77,0.720112144947052,0.6632364988327026,0.7914499044418335
78,0.845633864402771,0.7969850897789001,0.8896958827972412
79,0.7317737936973572,0.6605066657066345,0.784532219171524
80,0.6902446150779724,0.6119688749313354,0.7414153218269348
